Album,Artist,Year,URL,Track number,Track name,Filename,ID,Folder,Correct folder
"10""+ (2010)",Pumice,2015,http://stabbiesetc.bandcamp.com,1,Fool Fool Fool Moon,Pumice - 10-+ (2010) - 01 Fool Fool Fool Moon.flac,2856,Pumice - 10-+ (2010),Pumice - 10-+ (2010)
The Circus,Quazimodo,2015,http://quazimodomusic.bandcamp.com,1,The Gates,Quazimodo - The Circus - 01 The Gates.flac,2861,Quazimodo - The Circus,Quazimodo - The Circus
Walking The Skeleton,Rackets,2015,http://racketsonline.bandcamp.com,1,Separator,Rackets - Walking The Skeleton - 01 Separator.flac,2867,Rackets - Walking The Skeleton,Rackets - Walking The Skeleton
Silent Invasion,Radio Over Moscow,2015,http://radioovermoscow.bandcamp.com,1,Silent Invasion,Radio Over Moscow - Silent Invasion - 01 Silent Invasion.flac,2872,Radio Over Moscow - Silent Invasion,Radio Over Moscow - Silent Invasion
LOYALTY,RakaTrent,2015,http://rakatrent.bandcamp.com,1,Blowin Blunts Prod. inabeats,RakaTrent - LOYALTY - 01 Blowin Blunts Prod_ inabeats.flac,2874,RakaTrent - LOYALTY,RakaTrent - LOYALTY
acoustic - ep,ralWuss,2015,http://ralwuss.bandcamp.com,1,simple,ralWuss - acoustic - ep - 01 simple.flac,2880,ralWuss - acoustic - ep,ralWuss - acoustic - ep
RANGERS EP,RANDA,2014,http://larzranda.bandcamp.com,1,FORTRESS,RANDA - RANGERS EP - 01 FORTRESS.flac,2885,RANDA - RANGERS EP,RANDA - RANGERS EP
shed range,range,2015,http://range.bandcamp.com,1,Hours of Golden Sleep,range - shed range - 01 Hours of Golden Sleep.flac,2890,range - shed range,range - shed range
TAPE ONE,RANK PULLA,2015,http://rankpulla.bandcamp.com,1,J'adore FF,RANK PULLA - TAPE ONE - 01 J'adore FF.flac,2893,RANK PULLA - TAPE ONE,RANK PULLA - TAPE ONE
Raw Panic,Raw Panic,2015,http://zero-style.bandcamp.com,1,Raw Panic,Raw Panic - Raw Panic - 01 Raw Panic.flac,2896,Raw Panic - Raw Panic,Raw Panic - Raw Panic
Black Plastic Bag,Rei,2013,http://musicbyrei.bandcamp.com,1,BPB (Skit 1),Rei - Black Plastic Bag - 01 BPB (Skit 1).flac,2902,Rei - Black Plastic Bag,Rei - Black Plastic Bag
C.H.I.E.F,Rei,2015,http://musicbyrei.bandcamp.com,1,Step Step,Rei - C_H_I_E_F - 01 Step Step.flac,2913,Rei - C_H_I_E_F,Rei - C_H_I_E_F
UP,remy,2015,http://jeremymayall.bandcamp.com,1,In My Dreams,remy - UP - 01 In My Dreams.flac,2926,remy - UP,remy - UP
Residential Evil,Residential Evil,2015,http://mtravis.bandcamp.com,1,Hex,Residential Evil - Residential Evil - 01 Hex.flac,2942,Residential Evil - Residential Evil,Residential Evil - Residential Evil
Dancing for Architecture,Ride on Estrada,2013,http://rideonestrada.bandcamp.com,1,Trevally,Ride on Estrada - Dancing for Architecture - 01 Trevally.flac,2957,Ride on Estrada - Dancing for Architecture,Ride on Estrada - Dancing for Architecture
half cut,Rinst,2014,http://rinst.bandcamp.com,1,Human Condition,Rinst - half cut - 01 Human Condition.flac,2966,Rinst - half cut,Rinst - half cut
Session 3,Riverside Sessions,2014,http://riversidesessions1.bandcamp.com,1,Disconnected,Riverside Sessions - Session 3 - 01 Disconnected.flac,2971,Riverside Sessions - Session 3,Riverside Sessions - Session 3
Session 4,Riverside Sessions,2014,http://riversidesessions1.bandcamp.com,1,Weeping Sky Stomp,Riverside Sessions - Session 4 - 01 Weeping Sky Stomp.flac,2982,Riverside Sessions - Session 4,Riverside Sessions - Session 4
Session 5,Riverside Sessions,2015,http://riversidesessions1.bandcamp.com,1,La dame de l'amour,Riverside Sessions - Session 5 - 01 La dame de l'amour.flac,2988,Riverside Sessions - Session 5,Riverside Sessions - Session 5
Sessions 1 & 2,Riverside Sessions,2013,http://riversidesessions1.bandcamp.com,1,A Moment's Reflection,Riverside Sessions - Sessions 1 & 2 - 01 A Moment's Reflection.flac,3002,Riverside Sessions - Sessions 1 & 2,Riverside Sessions - Sessions 1 & 2
hot right now,ri'viero,2015,http://viero.bandcamp.com,1,bucks_fizz,ri'viero - hot right now - 01 bucks_fizz.flac,3013,ri'viero - hot right now,ri'viero - hot right now
Carpet House,Robbie Motion,2015,http://robbiemocean.bandcamp.com,1,Icarus,Robbie Motion - Carpet House - 01 Icarus.flac,3022,Robbie Motion - Carpet House,Robbie Motion - Carpet House
Rogernomix III,Rogernomix,2012,http://rogernomix.bandcamp.com,1,Right to Crime,Rogernomix - Rogernomix III - 01 Right to Crime.flac,3027,Rogernomix - Rogernomix III,Rogernomix - Rogernomix III
s/t,Rogernomix,2011,http://rogernomix.bandcamp.com,1,Rogernomix,Rogernomix - s-t - 01 Rogernomix.flac,3034,Rogernomix - s-t,Rogernomix - s-t
"'The Trickle Down Effect' 7""",Rogernomix,2011,http://rogernomix.bandcamp.com,1,Blaming Myself,Rogernomix - 'The Trickle Down Effect' 7- - 01 Blaming Myself.flac,3040,Rogernomix - 'The Trickle Down Effect' 7,Rogernomix - 'The Trickle Down Effect' 7
Break-Up Songs Vol. 1,Roidz,2014,http://roidz.bandcamp.com,1,Intro (I'm Mad),Roidz - Break-Up Songs Vol_ 1 - 01 Intro (I'm Mad).flac,3046,Roidz - Break-Up Songs Vol_ 1,Roidz - Break-Up Songs Vol_ 1
S-E-L-F-E-S-T-E-E-M,Roidz,2015,http://roidz.bandcamp.com,1,I'M DONE,Roidz - S-E-L-F-E-S-T-E-E-M - 01 I'M DONE.flac,3053,Roidz - S-E-L-F-E-S-T-E-E-M,Roidz - S-E-L-F-E-S-T-E-E-M
Holding on For Dear Life,Roland Brown,2015,http://rolandbrown.bandcamp.com,1,Nobody Else,Roland Brown - Holding on For Dear Life - 01 Nobody Else.flac,3063,Roland Brown - Holding on For Dear Life,Roland Brown - Holding on For Dear Life
